trial_id,val_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/seq_len,config/h_size,config/num_l,config/dropout_rate,config/activ,config/lr,config/batch_size
466d0_00000,0.004620402120053768,1701843122,checkpoint_000009,True,True,10,2023-12-06_07-12-02,3.7354116439819336,36.67816185951233,74859,maciej-ThinkPad-T480,192.168.1.17,36.67816185951233,10,"0_activ=ref_ph_d087e18c,batch_size=128,dropout_rate=0.2000,h_size=8,lr=0.0100,num_l=2,seq_len=48",48,8,2,0.2,<class 'torch.nn.modules.linear.Identity'>,0.01,128
466d0_00001,0.004524781368672848,1701843158,checkpoint_000009,True,True,10,2023-12-06_07-12-38,3.4510836601257324,35.88085055351257,74859,maciej-ThinkPad-T480,192.168.1.17,35.88085055351257,10,"1_activ=ref_ph_a967c568,batch_size=128,dropout_rate=0.2000,h_size=8,lr=0.0100,num_l=2,seq_len=48",48,8,2,0.2,<class 'torch.nn.modules.activation.ReLU'>,0.01,128
466d0_00002,0.0072159371338784695,1701843162,checkpoint_000000,True,True,1,2023-12-06_07-12-42,3.666705846786499,3.666705846786499,74859,maciej-ThinkPad-T480,192.168.1.17,3.666705846786499,1,"2_activ=ref_ph_d087e18c,batch_size=256,dropout_rate=0.2000,h_size=8,lr=0.0100,num_l=2,seq_len=48",48,8,2,0.2,<class 'torch.nn.modules.linear.Identity'>,0.01,256
466d0_00003,0.00499262660741806,1701843166,checkpoint_000000,True,True,1,2023-12-06_07-12-46,3.5865960121154785,3.5865960121154785,74859,maciej-ThinkPad-T480,192.168.1.17,3.5865960121154785,1,"3_activ=ref_ph_a967c568,batch_size=256,dropout_rate=0.2000,h_size=8,lr=0.0100,num_l=2,seq_len=48",48,8,2,0.2,<class 'torch.nn.modules.activation.ReLU'>,0.01,256
466d0_00004,0.004936741199344397,1701843170,checkpoint_000000,True,True,1,2023-12-06_07-12-50,4.087774276733398,4.087774276733398,74859,maciej-ThinkPad-T480,192.168.1.17,4.087774276733398,1,"4_activ=ref_ph_d087e18c,batch_size=128,dropout_rate=0.4000,h_size=8,lr=0.0100,num_l=2,seq_len=48",48,8,2,0.4,<class 'torch.nn.modules.linear.Identity'>,0.01,128
466d0_00005,0.0046444847248494625,1701843206,checkpoint_000009,True,True,10,2023-12-06_07-13-26,3.527693510055542,35.9650137424469,74859,maciej-ThinkPad-T480,192.168.1.17,35.9650137424469,10,"5_activ=ref_ph_a967c568,batch_size=128,dropout_rate=0.4000,h_size=8,lr=0.0100,num_l=2,seq_len=48",48,8,2,0.4,<class 'torch.nn.modules.activation.ReLU'>,0.01,128
466d0_00006,0.007601974997669458,1701843210,checkpoint_000000,True,True,1,2023-12-06_07-13-30,3.740216016769409,3.740216016769409,74859,maciej-ThinkPad-T480,192.168.1.17,3.740216016769409,1,"6_activ=ref_ph_d087e18c,batch_size=256,dropout_rate=0.4000,h_size=8,lr=0.0100,num_l=2,seq_len=48",48,8,2,0.4,<class 'torch.nn.modules.linear.Identity'>,0.01,256
466d0_00007,0.004958147183060646,1701843213,checkpoint_000000,True,True,1,2023-12-06_07-13-33,3.6220359802246094,3.6220359802246094,74859,maciej-ThinkPad-T480,192.168.1.17,3.6220359802246094,1,"7_activ=ref_ph_a967c568,batch_size=256,dropout_rate=0.4000,h_size=8,lr=0.0100,num_l=2,seq_len=48",48,8,2,0.4,<class 'torch.nn.modules.activation.ReLU'>,0.01,256
466d0_00008,0.004648891743272543,1701843224,checkpoint_000001,True,True,2,2023-12-06_07-13-44,5.148372173309326,10.789230108261108,74859,maciej-ThinkPad-T480,192.168.1.17,10.789230108261108,2,"8_activ=ref_ph_d087e18c,batch_size=128,dropout_rate=0.2000,h_size=16,lr=0.0100,num_l=2,seq_len=48",48,16,2,0.2,<class 'torch.nn.modules.linear.Identity'>,0.01,128
466d0_00009,0.004567132331430912,1701843276,checkpoint_000009,True,True,10,2023-12-06_07-14-36,5.078836679458618,51.387383222579956,74859,maciej-ThinkPad-T480,192.168.1.17,51.387383222579956,10,"9_activ=ref_ph_a967c568,batch_size=128,dropout_rate=0.2000,h_size=16,lr=0.0100,num_l=2,seq_len=48",48,16,2,0.2,<class 'torch.nn.modules.activation.ReLU'>,0.01,128
466d0_00010,0.004963073879480362,1701843281,checkpoint_000000,True,True,1,2023-12-06_07-14-41,5.142717599868774,5.142717599868774,74859,maciej-ThinkPad-T480,192.168.1.17,5.142717599868774,1,"10_activ=ref_ph_d087e18c,batch_size=256,dropout_rate=0.2000,h_size=16,lr=0.0100,num_l=2,seq_len=48",48,16,2,0.2,<class 'torch.nn.modules.linear.Identity'>,0.01,256
466d0_00011,0.004540282767266035,1701843332,checkpoint_000009,True,True,10,2023-12-06_07-15-32,5.0818705558776855,51.012985706329346,74859,maciej-ThinkPad-T480,192.168.1.17,51.012985706329346,10,"11_activ=ref_ph_a967c568,batch_size=256,dropout_rate=0.2000,h_size=16,lr=0.0100,num_l=2,seq_len=48",48,16,2,0.2,<class 'torch.nn.modules.activation.ReLU'>,0.01,256
466d0_00012,0.004736997652798891,1701843343,checkpoint_000001,True,True,2,2023-12-06_07-15-43,5.118706226348877,10.702625274658203,74859,maciej-ThinkPad-T480,192.168.1.17,10.702625274658203,2,"12_activ=ref_ph_d087e18c,batch_size=128,dropout_rate=0.4000,h_size=16,lr=0.0100,num_l=2,seq_len=48",48,16,2,0.4,<class 'torch.nn.modules.linear.Identity'>,0.01,128
466d0_00013,0.004658868070691824,1701843354,checkpoint_000001,True,True,2,2023-12-06_07-15-54,5.148807525634766,10.708864212036133,74859,maciej-ThinkPad-T480,192.168.1.17,10.708864212036133,2,"13_activ=ref_ph_a967c568,batch_size=128,dropout_rate=0.4000,h_size=16,lr=0.0100,num_l=2,seq_len=48",48,16,2,0.4,<class 'torch.nn.modules.activation.ReLU'>,0.01,128
466d0_00014,0.004952698014676571,1701843359,checkpoint_000000,True,True,1,2023-12-06_07-15-59,5.183506727218628,5.183506727218628,74859,maciej-ThinkPad-T480,192.168.1.17,5.183506727218628,1,"14_activ=ref_ph_d087e18c,batch_size=256,dropout_rate=0.4000,h_size=16,lr=0.0100,num_l=2,seq_len=48",48,16,2,0.4,<class 'torch.nn.modules.linear.Identity'>,0.01,256
